Run Name,Run ID,State,Commit,Logic,Eval Return,Retrieval Enable,Warmup Steps,Calculated Warmup Steps,Dynamic Warmup Delay Steps,Dynamic Warmup Target Steps,Min Warmup Steps,Batch Size Reduction,Z Score Threshold,Hash Bits,Retrieval Target,Anchor Weight,Seed,Created At
Frostbite_hc1bfvxo,hc1bfvxo,finished,522459f,retrieved_count (without max),N/A,True,N/A,N/A,N/A,N/A,N/A,N/A,3.5,10,16,N/A,N/A,2026-08-07T16:30:40Z
ChopperCommand_fcrzqnfl,fcrzqnfl,finished,906d580,retrieved_count (without max),N/A,True,N/A,N/A,N/A,N/A,N/A,N/A,3.5,10,16,N/A,N/A,2026-08-07T20:12:38Z
Frostbite_lgr64hkl,lgr64hkl,finished,906d580,retrieved_count (without max),N/A,True,N/A,N/A,N/A,N/A,N/A,N/A,3.5,10,16,N/A,N/A,2026-08-08T06:07:23Z
ChopperCommand_qgi59l89,qgi59l89,finished,12197ab,retrieved_count (without max),N/A,True,N/A,N/A,N/A,N/A,N/A,N/A,3.5,10,16,N/A,N/A,2026-08-08T10:00:53Z
Frostbite_6phdabdf,6phdabdf,finished,f4ca35e,retrieved_count (without max),N/A,True,N/A,N/A,N/A,N/A,N/A,N/A,3.5,10,16,N/A,N/A,2026-08-08T13:21:06Z
Hero_kfgedx37,kfgedx37,finished,12197ab,retrieved_count (without max),N/A,True,N/A,N/A,N/A,N/A,N/A,N/A,3.5,10,16,N/A,N/A,2026-08-08T13:33:54Z
Asterix_pd3tngie,pd3tngie,finished,12197ab,retrieved_count (without max),N/A,True,N/A,N/A,N/A,N/A,N/A,N/A,3.5,10,16,N/A,N/A,2026-08-08T17:17:34Z
Gopher_iv8hsasj,iv8hsasj,finished,12197ab,retrieved_count (without max),N/A,True,N/A,N/A,N/A,N/A,N/A,N/A,3.5,10,16,N/A,N/A,2026-08-08T20:28:23Z
Gopher_4qrcg3zv,4qrcg3zv,finished,5d6dd17,retrieved_count (without max),N/A,True,N/A,N/A,N/A,N/A,N/A,N/A,3.5,10,16,N/A,N/A,2026-08-09T03:16:21Z
Frostbite_j5wlpk0l,j5wlpk0l,finished,e682e51,retrieved_count (without max),261,True,N/A,N/A,N/A,N/A,N/A,N/A,3.5,10,16,N/A,N/A,2026-08-09T04:51:01Z
Frostbite_yha95292,yha95292,finished,e682e51,retrieved_count (without max),2631,False,N/A,N/A,N/A,N/A,N/A,N/A,3.5,10,16,N/A,N/A,2026-08-09T07:37:53Z
Frostbite_eiuv70yq,eiuv70yq,finished,f0361d8,num_valid_anchors,1897,True,5000,5000,N/A,N/A,N/A,N/A,3.5,10,16,N/A,N/A,2026-08-09T15:49:08Z
Gopher_u79ngx8e,u79ngx8e,finished,f0361d8,num_valid_anchors,1089,True,5000,5000,N/A,N/A,N/A,N/A,3.5,10,16,N/A,N/A,2026-08-09T15:50:25Z
ChopperCommand_0xtsin0l,0xtsin0l,finished,f0361d8,num_valid_anchors,1420,True,5000,5000,N/A,N/A,N/A,N/A,3.5,10,16,N/A,N/A,2026-08-09T18:55:57Z
Jamesbond_amedwsrz,amedwsrz,finished,f0361d8,num_valid_anchors,622.5,True,5000,5000,N/A,N/A,N/A,N/A,3.5,10,16,N/A,N/A,2026-08-09T19:30:20Z
Gopher_cq2v19hx,cq2v19hx,finished,a68e4c8,num_valid_anchors,3844,True,20000,20000,N/A,N/A,N/A,N/A,3.5,10,16,N/A,N/A,2026-08-10T02:33:35Z
Frostbite_aacxbr0j,aacxbr0j,finished,a68e4c8,num_valid_anchors,2535,True,20000,20000,N/A,N/A,N/A,N/A,3.5,10,16,N/A,N/A,2026-08-10T02:33:38Z
Gopher_m8qi1l1h,m8qi1l1h,finished,a85ff0a,num_valid_anchors,4545,False,N/A,N/A,N/A,N/A,N/A,N/A,3.5,10,16,N/A,N/A,2026-08-10T06:12:46Z
Frostbite_8mq7xtze,8mq7xtze,finished,a85ff0a,num_valid_anchors,2709,True,20000,20000,N/A,N/A,N/A,N/A,3.5,10,16,N/A,N/A,2026-08-10T06:46:35Z
Jamesbond_23itjn25,23itjn25,finished,a85ff0a,num_valid_anchors,625,True,20000,20000,N/A,N/A,N/A,N/A,3.5,10,16,N/A,N/A,2026-08-10T08:50:24Z
Frostbite_p72nyono,p72nyono,finished,7c744f2,retrieved_count (without max),2068,False,N/A,N/A,N/A,N/A,N/A,N/A,3.5,10,16,N/A,N/A,2026-08-11T04:36:29Z
Frostbite_dam6q2r6,dam6q2r6,finished,7c744f2,retrieved_count (without max),1904,False,N/A,N/A,N/A,N/A,N/A,N/A,3.5,10,16,N/A,N/A,2026-08-11T04:36:35Z
Frostbite_g78da4qo,g78da4qo,finished,e8adbf6,num_valid_anchors,2408.5,True,20000,20000,N/A,N/A,N/A,N/A,3.5,10,16,N/A,N/A,2026-08-11T07:13:21Z
Frostbite_8kao4rty,8kao4rty,finished,e8adbf6,num_valid_anchors,2666.5,True,20000,20000,N/A,N/A,N/A,N/A,3.5,10,16,N/A,N/A,2026-08-11T07:14:54Z
Frostbite_rcqsx89t,rcqsx89t,finished,e8adbf6,num_valid_anchors,260.5,True,20000,20000,N/A,N/A,N/A,N/A,3.5,10,16,N/A,N/A,2026-08-11T10:09:27Z
Frostbite_er2boj14,er2boj14,finished,e8adbf6,num_valid_anchors,266.5,False,N/A,N/A,N/A,N/A,N/A,N/A,3.5,10,16,N/A,N/A,2026-08-11T10:10:48Z
Hero_l245e0qe_10_O,l245e0qe,finished,90a0a5b,num_valid_anchors,12227.25,True,20000,20000,N/A,N/A,N/A,N/A,3.5,10,16,N/A,10,2026-08-11T12:56:43Z
Hero_0g7od2ti_10_X,0g7od2ti,finished,90a0a5b,num_valid_anchors,12996.75,False,N/A,N/A,N/A,N/A,N/A,N/A,3.5,10,16,N/A,10,2026-08-11T13:10:26Z
ChopperCommand_fsy2x429_10_O,fsy2x429,finished,90a0a5b,num_valid_anchors,1870,True,20000,20000,N/A,N/A,N/A,N/A,3.5,10,16,N/A,10,2026-08-11T15:53:49Z
ChopperCommand_ti2d8k6i_10_X,ti2d8k6i,finished,90a0a5b,num_valid_anchors,1960,False,N/A,N/A,N/A,N/A,N/A,N/A,3.5,10,16,N/A,10,2026-08-11T15:57:04Z
Gopher_lclcayju_1_O,lclcayju,finished,90a0a5b,num_valid_anchors,4067,True,20000,20000,N/A,N/A,N/A,N/A,3.5,10,16,N/A,1,2026-08-11T18:38:14Z
Gopher_gu3gyrb0_1_X,gu3gyrb0,finished,90a0a5b,num_valid_anchors,5968,False,N/A,N/A,N/A,N/A,N/A,N/A,3.5,10,16,N/A,1,2026-08-11T19:03:15Z
MsPacman_l32mawg9_1_O,l32mawg9,finished,90a0a5b,num_valid_anchors,1549.5,True,20000,20000,N/A,N/A,N/A,N/A,3.5,10,16,N/A,1,2026-08-11T21:38:47Z
MsPacman_m1aqiq1r_1_X,m1aqiq1r,finished,90a0a5b,num_valid_anchors,1807.5,False,N/A,N/A,N/A,N/A,N/A,N/A,3.5,10,16,N/A,1,2026-08-11T21:43:01Z
Frostbite_xkrcm9jk_710_X,xkrcm9jk,finished,90a0a5b,num_valid_anchors,2270.5,False,N/A,N/A,N/A,N/A,N/A,N/A,3.5,10,16,N/A,710,2026-08-12T00:32:22Z
Frostbite_7yto79qd_710_O,7yto79qd,finished,90a0a5b,num_valid_anchors,2008,True,20000,20000,N/A,N/A,N/A,N/A,3.5,10,16,N/A,710,2026-08-12T01:16:37Z
Frostbite_y00apntd_710_O,y00apntd,finished,5b8ad47,num_valid_anchors,1453.5,True,20000,20000,N/A,N/A,N/A,N/A,3,10,16,N/A,710,2026-08-12T06:43:36Z
Hero_o25d35ld_10_O,o25d35ld,finished,cd0fe1d,num_valid_anchors,13548,True,36000,36000,N/A,N/A,N/A,N/A,3,10,16,N/A,10,2026-08-12T09:16:36Z
Amidar_e4lm7iap_2000_X,e4lm7iap,finished,e4966df,num_valid_anchors,177.55,False,N/A,N/A,N/A,N/A,N/A,N/A,3,10,16,N/A,2000,2026-08-12T11:24:05Z
Alien_tspqrlhz_2000_X,tspqrlhz,finished,112fc78,num_valid_anchors,688.5,False,N/A,N/A,N/A,N/A,N/A,N/A,3.5,10,16,N/A,2000,2026-08-12T11:26:06Z
Gopher_zunomcdb_1_O,zunomcdb,finished,a8545fe,num_valid_anchors,4938,True,60000,60000,N/A,N/A,N/A,N/A,3.5,10,16,N/A,1,2026-08-12T12:14:28Z
MsPacman_zk4p36p3_1_O,zk4p36p3,finished,aa6e58c,num_valid_anchors,1740.5,True,11000,11000,N/A,N/A,N/A,N/A,3.5,10,16,N/A,1,2026-08-12T12:34:15Z
Gopher_kj5xuf12_10_X,kj5xuf12,finished,aa6e58c,num_valid_anchors,3275,False,N/A,N/A,N/A,N/A,N/A,N/A,3.5,10,16,N/A,10,2026-08-12T15:10:12Z
Frostbite_3z9mqxuf_10_O,3z9mqxuf,finished,aa6e58c,num_valid_anchors,2403,True,20000,20000,N/A,N/A,N/A,N/A,3.5,10,16,N/A,10,2026-08-12T15:34:44Z
Frostbite_es7rpyy3_710_O,es7rpyy3,finished,aa6e58c,num_valid_anchors,2101,True,20000,20000,N/A,N/A,N/A,N/A,3.5,10,16,N/A,710,2026-08-12T17:47:31Z
Assault_44x6n4yp_2000_X,44x6n4yp,finished,112fc78,num_valid_anchors,620.4,False,N/A,N/A,N/A,N/A,N/A,N/A,3.5,10,16,N/A,2000,2026-08-12T18:15:20Z
BankHeist_d14nb2bu_2000_X,d14nb2bu,finished,112fc78,num_valid_anchors,163,False,N/A,N/A,N/A,N/A,N/A,N/A,3.5,10,16,N/A,2000,2026-08-12T18:16:09Z
Frostbite_8dazzzeq_3710_O,8dazzzeq,finished,aa6e58c,num_valid_anchors,2671,True,20000,20000,N/A,N/A,N/A,N/A,3.5,10,16,N/A,3710,2026-08-12T18:35:06Z
MsPacman_f2f1pwux_10_X,f2f1pwux,finished,aa6e58c,num_valid_anchors,2007,False,N/A,N/A,N/A,N/A,N/A,N/A,3.5,10,16,N/A,10,2026-08-12T20:41:07Z
Hero_abdl7rky_1_X,abdl7rky,finished,aa6e58c,num_valid_anchors,7608.5,False,N/A,N/A,N/A,N/A,N/A,N/A,3.5,10,16,N/A,1,2026-08-12T21:29:52Z
Asterix_9vuw278h_1_X,9vuw278h,finished,aa6e58c,num_valid_anchors,515,False,N/A,N/A,N/A,N/A,N/A,N/A,3.5,10,16,N/A,1,2026-08-12T23:18:15Z
Qbert_w1hqiqbo_1_X,w1hqiqbo,finished,aa6e58c,num_valid_anchors,1771.25,False,N/A,N/A,N/A,N/A,N/A,N/A,3.5,10,16,N/A,1,2026-08-13T00:08:22Z
BattleZone_z3zh8ezk_2000_X,z3zh8ezk,finished,112fc78,num_valid_anchors,5300,False,N/A,N/A,N/A,N/A,N/A,N/A,3.5,10,16,N/A,2000,2026-08-13T00:54:50Z
Boxing_u1xxt1sd_2000_X,u1xxt1sd,finished,112fc78,num_valid_anchors,81,False,N/A,N/A,N/A,N/A,N/A,N/A,3.5,10,16,N/A,2000,2026-08-13T01:09:53Z
UpNDown_d2hkqq0o_1_X,d2hkqq0o,finished,aa6e58c,num_valid_anchors,9044,False,N/A,N/A,N/A,N/A,N/A,N/A,3.5,10,16,N/A,1,2026-08-13T01:57:21Z
Jamesbond_es6yncsk_1_X,es6yncsk,finished,aa6e58c,num_valid_anchors,490,False,N/A,N/A,N/A,N/A,N/A,N/A,3.5,10,16,N/A,1,2026-08-13T02:54:18Z
Frostbite_puk2s410_10_O,puk2s410,finished,3a3d560,num_valid_anchors,2565.5,True,20000,20000,N/A,N/A,N/A,N/A,3.5,10,16,N/A,10,2026-08-13T05:33:20Z
Frostbite_51vm6i31_3710_O,51vm6i31,finished,3670190,retrieved_count (with max),3018,True,20000,20000,N/A,N/A,N/A,N/A,3.5,10,16,N/A,3710,2026-08-13T05:35:06Z
Breakout_qilmuxin_2000_X,qilmuxin,finished,112fc78,num_valid_anchors,9.8,False,N/A,N/A,N/A,N/A,N/A,N/A,3.5,10,16,N/A,2000,2026-08-13T07:35:11Z
CrazyClimber_66u1ib58_2000_X,66u1ib58,finished,112fc78,num_valid_anchors,59970,False,N/A,N/A,N/A,N/A,N/A,N/A,3.5,10,16,N/A,2000,2026-08-13T08:03:50Z
Frostbite_t85dlvke_710_O,t85dlvke,finished,3670190,retrieved_count (with max),2694,True,20000,20000,N/A,N/A,N/A,N/A,3.5,10,16,N/A,710,2026-08-13T08:32:12Z
Hero_a25uq0uk_1_O,a25uq0uk,finished,3670190,retrieved_count (with max),7267.75,True,15000,15000,N/A,N/A,N/A,N/A,3.5,10,16,N/A,1,2026-08-13T08:46:07Z
Hero_di5yjl1t_10_O,di5yjl1t,finished,138ed31,retrieved_count (with max),12951.25,True,15000,15000,N/A,N/A,N/A,N/A,3.5,10,16,N/A,10,2026-08-13T11:43:42Z
MsPacman_ybun9ejj_1_O,ybun9ejj,finished,138ed31,retrieved_count (with max),1897,True,40000,40000,N/A,N/A,N/A,N/A,3.5,10,16,N/A,1,2026-08-13T11:48:23Z
MsPacman_ydbp9tkl_10_O,ydbp9tkl,finished,138ed31,retrieved_count (with max),1556,True,40000,40000,N/A,N/A,N/A,N/A,3.5,10,16,N/A,10,2026-08-13T14:44:13Z
Gopher_76hfojnv_10_O,76hfojnv,finished,138ed31,retrieved_count (with max),3135,True,60000,60000,N/A,N/A,N/A,N/A,3.5,10,16,N/A,10,2026-08-13T14:45:09Z
Gopher_tkia8g0g_1_O,tkia8g0g,finished,138ed31,retrieved_count (with max),4986,True,60000,60000,N/A,N/A,N/A,N/A,3.5,10,16,N/A,1,2026-08-13T17:40:21Z
Seaquest_m5jcaa5a_1_X,m5jcaa5a,finished,138ed31,retrieved_count (with max),454,False,N/A,N/A,N/A,N/A,N/A,N/A,3.5,10,16,N/A,1,2026-08-13T20:34:30Z
Alien_s9hi31ki_1_X,s9hi31ki,finished,138ed31,retrieved_count (with max),1142,False,N/A,N/A,N/A,N/A,N/A,N/A,3.5,10,16,N/A,1,2026-08-13T20:34:46Z
Alien_93r1csof_1_O,93r1csof,finished,138ed31,retrieved_count (with max),1198.5,True,20000,20000,N/A,N/A,N/A,N/A,3.5,10,16,N/A,1,2026-08-13T23:11:48Z
Assault_0i5yuas8_1_X,0i5yuas8,finished,138ed31,retrieved_count (with max),705,False,N/A,N/A,N/A,N/A,N/A,N/A,3.5,10,16,N/A,1,2026-08-13T23:16:58Z
Qbert_zc8i4p9r_1_O,zc8i4p9r,finished,138ed31,retrieved_count (with max),2985,True,36000,36000,N/A,N/A,N/A,N/A,3.5,10,16,N/A,1,2026-08-14T01:57:19Z
Amidar_jo4xfrpw_1_O,jo4xfrpw,finished,138ed31,retrieved_count (with max),168.8,True,20000,20000,N/A,N/A,N/A,N/A,3.5,10,16,N/A,1,2026-08-14T02:13:17Z
Qbert_moln5tny_10_X,moln5tny,finished,138ed31,retrieved_count (with max),3786.25,False,N/A,N/A,N/A,N/A,N/A,N/A,3.5,10,16,N/A,10,2026-08-14T05:38:53Z
Amidar_j8no9ulb_2000_O,j8no9ulb,finished,9c3440f,retrieved_count (with max),207.7,True,20000,20000,N/A,N/A,N/A,N/A,3.5,10,16,N/A,2000,2026-08-14T07:34:31Z
Alien_xx429746_2000_O,xx429746,finished,d4c0ad6,retrieved_count (with max),620.5,True,20000,20000,N/A,N/A,N/A,N/A,3.5,10,16,N/A,2000,2026-08-14T07:42:25Z
Amidar_towr6pad_5090_X,towr6pad,finished,9c3440f,retrieved_count (with max),204.85,False,N/A,N/A,N/A,N/A,N/A,N/A,3.5,10,16,N/A,5090,2026-08-14T09:26:39Z
Assault_xl85l6jo_2000_O,xl85l6jo,finished,d4c0ad6,retrieved_count (with max),654.1,True,20000,20000,N/A,N/A,N/A,N/A,3.5,10,16,N/A,2000,2026-08-14T15:02:03Z
Amidar_4izyy5or_5090_O,4izyy5or,finished,9c3440f,retrieved_count (with max),222.65,True,50900,50900,N/A,N/A,N/A,N/A,3.5,10,16,N/A,5090,2026-08-14T15:37:09Z
BankHeist_hec3j6ho_2000_O,hec3j6ho,finished,d4c0ad6,retrieved_count (with max),148,True,40000,40000,N/A,N/A,N/A,N/A,3.5,10,16,N/A,2000,2026-08-14T15:42:03Z
BattleZone_vzh60s9k_2000_O,vzh60s9k,finished,d4c0ad6,retrieved_count (with max),10050,True,40000,40000,N/A,N/A,N/A,N/A,3.5,10,16,N/A,2000,2026-08-14T23:02:03Z
Boxing_5vblkjly_2000_O,5vblkjly,finished,d4c0ad6,retrieved_count (with max),86.25,True,40000,40000,N/A,N/A,N/A,N/A,3.5,10,16,N/A,2000,2026-08-14T23:07:18Z
Alien_ivw80t9d_5090_X,ivw80t9d,finished,9c3440f,retrieved_count (with max),842.5,False,N/A,N/A,N/A,N/A,N/A,N/A,3.5,10,16,N/A,5090,2026-08-15T02:23:14Z
DemonAttack_wyla6aj7_2000_X,wyla6aj7,finished,d4c0ad6,retrieved_count (with max),171.75,False,N/A,N/A,N/A,N/A,N/A,N/A,3.5,10,16,N/A,2000,2026-08-15T06:21:10Z
Freeway_h39cd3zm_2000_X,h39cd3zm,finished,d4c0ad6,retrieved_count (with max),0,False,N/A,N/A,N/A,N/A,N/A,N/A,3.5,10,16,N/A,2000,2026-08-15T06:45:29Z
Kangaroo_4xumbmww_2000_X,4xumbmww,finished,d4c0ad6,retrieved_count (with max),1470,False,N/A,N/A,N/A,N/A,N/A,N/A,3.5,10,16,N/A,2000,2026-08-15T13:09:25Z
Krull_302gbj88_2000_X,302gbj88,finished,d4c0ad6,retrieved_count (with max),4708.5,False,N/A,N/A,N/A,N/A,N/A,N/A,3.5,10,16,N/A,2000,2026-08-15T13:31:11Z
Assault_xqlr76ij_5090_X,xqlr76ij,finished,9c3440f,retrieved_count (with max),662.4,False,N/A,N/A,N/A,N/A,N/A,N/A,3.5,10,16,N/A,5090,2026-08-15T15:08:39Z
KungFuMaster_5v719v97_2000_X,5v719v97,finished,d4c0ad6,retrieved_count (with max),23815,False,N/A,N/A,N/A,N/A,N/A,N/A,3.5,10,16,N/A,2000,2026-08-15T19:56:00Z
Pong_v63zafer_2000_X,v63zafer,finished,d4c0ad6,retrieved_count (with max),5.7,False,N/A,N/A,N/A,N/A,N/A,N/A,3.5,10,16,N/A,2000,2026-08-15T20:22:42Z
DemonAttack_ceje5gqv_2000_O,ceje5gqv,finished,d4c0ad6,retrieved_count (with max),144.5,True,20000,20000,N/A,N/A,N/A,N/A,3.5,10,16,N/A,2000,2026-08-16T03:20:32Z
Alien_22rpl8xp_2010_X,22rpl8xp,finished,d4c0ad6,retrieved_count (with max),817,False,N/A,N/A,N/A,N/A,N/A,N/A,3.5,10,16,N/A,2010,2026-08-16T03:20:35Z
BankHeist_ab41ct6i_5090_X,ab41ct6i,finished,9c3440f,retrieved_count (with max),521,False,N/A,N/A,N/A,N/A,N/A,N/A,3.5,10,16,N/A,5090,2026-08-16T05:08:53Z
Assault_ckrlgqy9_2010_X,ckrlgqy9,finished,4d949fe,retrieved_count (with max),605.8,False,N/A,N/A,N/A,N/A,N/A,N/A,3.5,10,16,N/A,2010,2026-08-16T10:11:14Z
BankHeist_innwmwhh_2010_X,innwmwhh,finished,4d949fe,retrieved_count (with max),699,False,N/A,N/A,N/A,N/A,N/A,N/A,3.5,10,16,N/A,2010,2026-08-16T11:15:06Z
BattleZone_c42aw4v3_5090_X,c42aw4v3,finished,9c3440f,retrieved_count (with max),9650,False,N/A,N/A,N/A,N/A,N/A,N/A,3.5,10,16,N/A,5090,2026-08-16T14:57:46Z
BattleZone_qzxk63jj_2010_X,qzxk63jj,finished,4d949fe,retrieved_count (with max),15900,False,N/A,N/A,N/A,N/A,N/A,N/A,3.5,10,16,N/A,2010,2026-08-16T16:54:59Z
Kangaroo_8tacn48b_2010_X,8tacn48b,finished,4d949fe,retrieved_count (with max),1730,False,N/A,N/A,N/A,N/A,N/A,N/A,3.5,10,16,N/A,2010,2026-08-16T18:00:39Z
Boxing_53feow6p_5090_X,53feow6p,finished,9c3440f,retrieved_count (with max),88.6,False,N/A,N/A,N/A,N/A,N/A,N/A,3.5,10,16,N/A,5090,2026-08-16T22:02:46Z
Krull_iyv69dz1_2010_X,iyv69dz1,finished,4d949fe,retrieved_count (with max),5913.5,False,N/A,N/A,N/A,N/A,N/A,N/A,3.5,10,16,N/A,2010,2026-08-16T23:40:00Z
KungFuMaster_vo2l3l6a_2010_X,vo2l3l6a,finished,4d949fe,retrieved_count (with max),20895,False,N/A,N/A,N/A,N/A,N/A,N/A,3.5,10,16,N/A,2010,2026-08-17T00:46:30Z
Pong_mbkdzqfm_2010_X,mbkdzqfm,finished,4d949fe,retrieved_count (with max),13.7,False,N/A,N/A,N/A,N/A,N/A,N/A,3.5,10,16,N/A,2010,2026-08-17T06:21:18Z
DemonAttack_prcbs56a_5090_X,prcbs56a,finished,9c3440f,retrieved_count (with max),188,False,N/A,N/A,N/A,N/A,N/A,N/A,3.5,10,16,N/A,5090,2026-08-17T08:47:49Z
Alien_fwk5rywl_2010_O,fwk5rywl,finished,c3f32d3,Unknown (Git error or train.py missing),1130,True,20000,20000,N/A,N/A,N/A,N/A,3.5,10,16,N/A,2010,2026-08-17T09:06:39Z
Qbert_9wc68vrt_2000_X,9wc68vrt,finished,9c89feb,retrieved_count (with max),3193.75,False,N/A,N/A,N/A,N/A,N/A,N/A,3.5,10,16,N/A,2000,2026-08-17T13:08:34Z
Assault_jia38v5u_1_O,jia38v5u,finished,9c89feb,retrieved_count (with max),765.45,True,20000,20000,N/A,N/A,N/A,N/A,3.5,10,16,N/A,1,2026-08-17T14:27:03Z
Assault_07o8zden_2010_O,07o8zden,finished,9c89feb,retrieved_count (with max),732.9,True,20000,20000,N/A,N/A,N/A,N/A,3.5,10,16,N/A,2010,2026-08-17T16:20:46Z
Asterix_3ejw07af_1_O,3ejw07af,finished,9c89feb,retrieved_count (with max),682.5,True,20000,20000,N/A,N/A,N/A,N/A,3.5,10,16,N/A,1,2026-08-17T17:45:52Z
BankHeist_al1c0nxn_2010_O,al1c0nxn,finished,9c89feb,retrieved_count (with max),683,True,70000,70000,N/A,N/A,N/A,N/A,3.5,10,16,N/A,2010,2026-08-17T19:57:47Z
Qbert_d1ysoych_1_O,d1ysoych,finished,9c89feb,retrieved_count (with max),2667.5,True,60000,60000,N/A,N/A,N/A,N/A,3.5,10,16,N/A,1,2026-08-17T20:47:06Z
UpNDown_84acktmr_1_O,84acktmr,finished,9c89feb,retrieved_count (with max),11733,True,20000,20000,N/A,N/A,N/A,N/A,3.5,10,16,N/A,1,2026-08-17T23:34:53Z
BattleZone_ptt1y74h_2010_O,ptt1y74h,finished,9c89feb,retrieved_count (with max),13650,True,20000,20000,N/A,N/A,N/A,N/A,3.5,10,16,N/A,2010,2026-08-18T00:13:09Z
Qbert_md455r0o_10_O,md455r0o,finished,9c89feb,retrieved_count (with max),4221.25,True,60000,60000,N/A,N/A,N/A,N/A,3.5,10,16,N/A,10,2026-08-18T03:01:35Z
Kangaroo_4brm8ls8_2010_O,4brm8ls8,finished,9c89feb,retrieved_count (with max),1750,True,30000,30000,N/A,N/A,N/A,N/A,3.5,10,16,N/A,2010,2026-08-18T03:12:01Z
Jamesbond_m0m5fsuj_1_O,m0m5fsuj,finished,9c89feb,retrieved_count (with max),420,True,70000,70000,N/A,N/A,N/A,N/A,3.5,10,16,N/A,1,2026-08-18T05:47:17Z
Seaquest_0iq0fix7_1_O,0iq0fix7,finished,9c89feb,retrieved_count (with max),523,True,50000,50000,N/A,N/A,N/A,N/A,3.5,10,16,N/A,1,2026-08-18T08:35:24Z
Krull_9a616vte_2010_O,9a616vte,finished,9c89feb,retrieved_count (with max),4948,True,20000,20000,N/A,N/A,N/A,N/A,3.5,10,16,N/A,2010,2026-08-18T10:49:31Z
ChopperCommand_gx5i2iyc_2000_X,gx5i2iyc,finished,1fb1f8d,num_valid_anchors,1470,False,N/A,N/A,N/A,N/A,N/A,N/A,3.5,10,16,N/A,2000,2026-08-18T21:27:56Z
BattleZone_fmqrqzef_2000_O,fmqrqzef,finished,1fb1f8d,num_valid_anchors,6200,True,20000,20000,N/A,N/A,N/A,N/A,3.5,10,16,N/A,2000,2026-08-19T01:07:55Z
BattleZone_ao3zivro_2010_O,ao3zivro,finished,1fb1f8d,num_valid_anchors,15550,True,20000,20000,N/A,N/A,N/A,N/A,3.5,10,16,N/A,2010,2026-08-19T04:18:42Z
Assault_x4pmdsxa_2010_O,x4pmdsxa,finished,e36a984,num_valid_anchors,703.85,True,20000,20000,N/A,N/A,N/A,N/A,3.5,10,16,N/A,2010,2026-08-19T08:46:31Z
DemonAttack_2ywpzauc_2000_O,2ywpzauc,finished,e36a984,num_valid_anchors,126.75,True,20000,20000,N/A,N/A,N/A,N/A,3.5,10,16,N/A,2000,2026-08-19T12:25:51Z
Frostbite_l80bk5nx_10_O,l80bk5nx,finished,5054c4e,num_valid_anchors,2659,True,20000,20000,N/A,N/A,N/A,retrieved,3.5,10,16,N/A,10,2026-08-19T12:57:36Z
Qbert_kdl2k6zy_1_O,kdl2k6zy,finished,5054c4e,num_valid_anchors,1316.25,True,36000,36000,N/A,N/A,N/A,anchors,3.5,10,16,N/A,1,2026-08-19T12:57:51Z
BattleZone_08x5wdbp_5090_O,08x5wdbp,finished,7099555,num_valid_anchors,7600,True,20000,20000,N/A,N/A,N/A,retrieved,3.5,10,16,N/A,5090,2026-08-19T13:07:15Z
